movie,year,imdb,metascore,votes
Uzak,2002,7.5,84,21017
Like Mike,2002,5.3,47,20969
Big Trouble,2002,6.4,47,20830
Russkiy kovcheg,2002,7.3,86,20533
Return to Never Land,2002,5.8,49,20387
Swimfan,2002,5.0,29,20312
Ballistic: Ecks vs. Sever,2002,3.6,19,20115
Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48,19885
Darkness,2002,5.4,15,19696
À la folie... pas du tout,2002,7.1,63,19033
Gerry,2002,6.0,54,18851
Serving Sara,2002,5.3,18,17772
Roger Dodger,2002,6.9,75,17464
The Emperor's Club,2002,6.9,49,17239
Swept Away,2002,3.6,18,16886
The Lord of the Rings: The Return of the King,2003,9.0,94,1803261
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63,1111455
Kill Bill: Vol. 1,2003,8.2,69,1098750
Finding Nemo,2003,8.2,90,1030569
The Matrix Reloaded,2003,7.2,62,589745
Oldeuboi,2003,8.4,77,570023
X2,2003,7.4,68,546405
The Matrix Revolutions,2003,6.7,47,509087
Love Actually,2003,7.6,55,477398
Mystic River,2003,7.9,84,453280
Lost in Translation,2003,7.7,89,450006
Big Fish,2003,8.0,58,438994
The Last Samurai,2003,7.8,55,436650
Bruce Almighty,2003,6.8,46,400321
Terminator 3: Rise of the Machines,2003,6.3,66,397712
The Italian Job,2003,7.0,68,366212
School of Rock,2003,7.2,82,303189
2 Fast 2 Furious,2003,5.9,38,272688
Underworld,2003,7.0,42,268958
Hulk,2003,5.6,54,266997
Elf,2003,7.0,64,263865
Bad Boys II,2003,6.6,38,249475
Identity,2003,7.3,64,246354
How to Lose a Guy in 10 Days,2003,6.4,45,236209
21 Grams,2003,7.7,70,235999
Old School,2003,7.0,54,231150
Master and Commander: The Far Side of the World,2003,7.4,81,220350
Daredevil,2003,5.3,42,219662
Anger Management,2003,6.2,52,215360
American Wedding,2003,6.3,43,205794
Salinui chueok,2003,8.1,82,179013
The League of Extraordinary Gentlemen,2003,5.8,30,176030
Final Destination 2,2003,6.2,38,166155
Once Upon a Time in Mexico,2003,6.3,56,162139
Johnny English,2003,6.2,51,160255
Monster,2003,7.3,74,151132
Cold Mountain,2003,7.2,73,148659
Dogville,2003,8.0,60,148364
S.W.A.T.,2003,6.0,45,147346
Scary Movie 3,2003,5.5,49,147320
Good Bye Lenin!,2003,7.7,68,145847
Bad Santa,2003,7.1,70,143629
The Texas Chainsaw Massacre,2003,6.2,38,142251
Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,138438
Freaky Friday,2003,6.3,70,137976
The Recruit,2003,6.6,56,136188
Matchstick Men,2003,7.3,61,131425
Charlie's Angels: Full Throttle,2003,4.9,48,127881
Tears of the Sun,2003,6.6,48,122307
Something's Gotta Give,2003,6.7,66,121950
The Dreamers,2003,7.1,62,121094
The Life of David Gale,2003,7.5,31,120242
Wrong Turn,2003,6.1,32,119708
Freddy vs. Jason,2003,5.7,37,119214
Gothika,2003,5.8,38,113248
Brother Bear,2003,6.8,48,110032
Paycheck,2003,6.3,43,108822
The Rundown,2003,6.6,59,107381
Shanghai Knights,2003,6.2,58,106228
Cheaper by the Dozen,2003,5.9,46,102134
The Core,2003,5.5,48,99890
Runaway Jury,2003,7.1,61,97612
Intolerable Cruelty,2003,6.3,71,97405
Dreamcatcher,2003,5.5,35,92657
Elephant,2003,7.1,70,91481
The Room,2003,3.6,9,89136
Holes,2003,7.0,71,88606
Thirteen,2003,6.8,70,87943
House of 1000 Corpses,2003,6.0,31,85783
The Cat in the Hat,2003,4.0,19,82915
Mona Lisa Smile,2003,6.5,45,82872
Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0,85,82781
Girl with a Pearl Earring,2003,6.9,72,78345
Ong-bak,2003,7.1,69,74722
Open Range,2003,7.4,67,73150
Seabiscuit,2003,7.3,72,73103
Peter Pan,2003,6.8,64,73023
Haute tension,2003,6.7,42,72227
Just Married,2003,5.4,28,71171
The Station Agent,2003,7.6,81,70532
Jeux d'enfants,2003,7.5,45,70042
Kal Ho Naa Ho,2003,7.9,54,68979
House of Sand and Fog,2003,7.5,71,68905
Daddy Day Care,2003,5.6,39,68707
"Legally Blonde 2: Red, White & Blonde",2003,4.7,47,67290
Jeepers Creepers 2,2003,5.6,36,64530
Coffee and Cigarettes,2003,7.0,65,63583
Timeline,2003,5.6,28,63331
What a Girl Wants,2003,5.8,41,63260
Basic,2003,6.4,34,63129
"Janghwa, Hongryeon",2003,7.1,65,62225
Out of Time,2003,6.5,63,61103
Spy Kids 3: Game Over,2003,4.3,57,60387
Duplex,2003,5.9,50,58115
Secondhand Lions,2003,7.5,52,57666
Sinbad: Legend of the Seven Seas,2003,6.7,48,54533
Les triplettes de Belleville,2003,7.7,91,54455
Open Water,2003,5.8,63,53918
Stuck on You,2003,5.8,62,53347
Under the Tuscan Sun,2003,6.7,52,53051
National Security,2003,5.6,31,50993
Bulletproof Monk,2003,5.4,40,50568
American Splendor,2003,7.4,90,50115
Zatôichi,2003,7.5,75,49629
Gigli,2003,2.6,18,48994
The Haunted Mansion,2003,5.1,34,48752
11:14,2003,7.1,65,47873
The Hunted,2003,6.0,40,47723
A Man Apart,2003,6.0,36,47534
Swimming Pool,2003,6.7,70,45955
Honey,2003,5.3,37,45819
Vozvrashchenie,2003,7.9,82,45506
Cradle 2 the Grave,2003,5.8,36,45067
Down with Love,2003,6.3,52,41899
The Medallion,2003,5.2,38,41730
Radio,2003,6.9,38,41102
Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,19,39915
Tôkyô goddofâzâzu,2003,7.8,73,39914
The Lizzie McGuire Movie,2003,5.5,56,39699
Uptown Girls,2003,6.1,33,38841
Ondskan,2003,7.7,61,38648
Looney Tunes: Back in Action,2003,5.8,64,37593
Hollywood Homicide,2003,5.3,47,37551
House of the Dead,2003,2.1,15,37347
Bringing Down the House,2003,5.6,39,37345
The Missing,2003,6.5,55,36265
Touching the Void,2003,8.0,82,35861
Shattered Glass,2003,7.2,73,35630
Agent Cody Banks,2003,5.1,41,35101
Confidence,2003,6.6,59,34395
The Cooler,2003,6.9,69,34225
Darkness Falls,2003,4.9,23,31870
Kangaroo Jack,2003,4.4,16,31825
Anything Else,2003,6.3,43,31291
The Human Stain,2003,6.2,57,31045
My Boss's Daughter,2003,4.7,15,29557
Les invasions barbares,2003,7.5,70,29312
Beyond Borders,2003,6.4,32,28393
A Mighty Wind,2003,7.2,81,28123
View from the Top,2003,5.3,27,27215
Ned Kelly,2003,6.4,56,27107
Calendar Girls,2003,6.9,60,26558
From Justin to Kelly,2003,1.9,14,26481
Capturing the Friedmans,2003,7.7,90,25785
Kontroll,2003,7.6,72,25663
My Life Without Me,2003,7.4,57,25073
In the Cut,2003,5.3,46,24575
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,8.1,87,24316
The United States of Leland,2003,7.0,37,23505
Cold Creek Manor,2003,5.0,37,22929
Wonderland,2003,6.5,43,22406
De grønne slagtere,2003,7.2,54,22359
La meglio gioventù,2003,8.5,89,22034
The Corporation,2003,8.0,73,21337
Pieces of April,2003,7.0,70,21144
Saints and Soldiers,2003,6.7,56,20785
Code 46,2003,6.1,57,20665
Veronica Guerin,2003,6.8,55,20502
Head of State,2003,5.4,44,20403
Malibu's Most Wanted,2003,5.2,43,19887
Carandiru,2003,7.5,71,19856
Willard,2003,6.1,61,19618
Eternal Sunshine of the Spotless Mind,2004,8.3,89,993211
Kill Bill: Vol. 2,2004,8.0,83,746447
The Incredibles,2004,8.0,90,724783
Million Dollar Baby,2004,8.1,86,681834
Spider-Man 2,2004,7.4,83,643619
Harry Potter and the Prisoner of Azkaban,2004,7.9,82,623350
The Notebook,2004,7.8,53,565810
Shaun of the Dead,2004,7.9,76,552704
"I, Robot",2004,7.1,59,535419
Troy,2004,7.3,56,529606
The Butterfly Effect,2004,7.6,30,485520
The Bourne Supremacy,2004,7.7,73,461075
Shrek 2,2004,7.3,75,457809
The Terminal,2004,7.4,55,454001
The Day After Tomorrow,2004,6.4,47,445151
Crash,2004,7.8,66,435405
Saw,2004,7.6,46,416027
Collateral,2004,7.5,71,397535
Hauru no ugoku shiro,2004,8.2,80,387668
Ocean's Twelve,2004,6.5,58,387363
The Machinist,2004,7.7,61,386522
Mean Girls,2004,7.1,66,378535
Man on Fire,2004,7.7,47,360542
The Aviator,2004,7.5,77,359148
Anchorman: The Legend of Ron Burgundy,2004,7.1,63,355147
Hotel Rwanda,2004,8.1,79,353976
Der Untergang,2004,8.2,82,353339
50 First Dates,2004,6.8,48,352844
National Treasure,2004,6.9,39,330240
Hellboy,2004,6.8,72,327042
Meet the Fockers,2004,6.3,41,269934
Van Helsing,2004,6.0,35,264431
Before Sunset,2004,8.1,90,261369
The Village,2004,6.6,44,260216
Dawn of the Dead,2004,7.3,59,254020
Dodgeball: A True Underdog Story,2004,6.7,55,248245
The Passion of the Christ,2004,7.2,47,231198
The Chronicles of Riddick,2004,6.6,38,227684
The Girl Next Door,2004,6.7,47,224681
Napoleon Dynamite,2004,6.9,64,217933
Closer,2004,7.2,65,217715
Garden State,2004,7.4,67,216266
EuroTrip,2004,6.6,45,209230
A Series of Unfortunate Events,2004,6.8,62,208393
Finding Neverland,2004,7.7,67,206283
The Polar Express,2004,6.6,61,204554
Resident Evil: Apocalypse,2004,6.1,35,199253
AVP: Alien vs. Predator,2004,5.6,29,199168
Secret Window,2004,6.5,46,196540
The Life Aquatic with Steve Zissou,2004,7.2,62,196469
Harold & Kumar Go to White Castle,2004,7.0,64,195562
Sideways,2004,7.5,94,191145
13 Going on 30,2004,6.2,57,190106
Shark Tale,2004,6.0,48,182206
Layer Cake,2004,7.3,73,180157
Blade: Trinity,2004,5.8,38,177213
Alexander,2004,5.6,39,169772
Team America: World Police,2004,7.2,64,169057
King Arthur,2004,6.3,46,167803
The Punisher,2004,6.4,33,160235
Ray,2004,7.7,73,147433
Starsky & Hutch,2004,6.1,55,147380
The Grudge,2004,5.9,49,144693
White Chicks,2004,5.7,41,144661
Kung fu,2004,7.7,78,138898
Along Came Polly,2004,6.0,44,135604
Fahrenheit 9/11,2004,7.5,67,129594
The Phantom of the Opera,2004,7.2,40,122820
Catwoman,2004,3.4,27,119409
Bridget Jones: The Edge of Reason,2004,5.9,44,113942
Shi mian mai fu,2004,7.5,89,112083
The Manchurian Candidate,2004,6.6,76,110890
Super Size Me,2004,7.2,73,108598
Primer,2004,6.8,68,106507
The Ladykillers,2004,6.2,56,104838
Diarios de motocicleta,2004,7.8,75,101180
Cellular,2004,6.5,60,100965
The SpongeBob SquarePants Movie,2004,7.1,66,90580
Taking Lives,2004,6.2,38,90049
Around the World in 80 Days,2004,5.8,49,90019
A Cinderella Story,2004,5.9,25,87445
Garfield,2004,5.0,27,86514
Sky Captain and the World of Tomorrow,2004,6.1,64,84911
Spanglish,2004,6.4,48,84099
Hidalgo,2004,6.7,54,82135
Mar adentro,2004,8.0,74,81721
The Princess Diaries 2: Royal Engagement,2004,5.8,43,81033
Walking Tall,2004,6.2,44,76114
Un long dimanche de fiançailles,2004,7.6,76,73857
Banlieue 13,2004,7.1,70,70355
Mysterious Skin,2004,7.6,73,69976
Ella Enchanted,2004,6.3,53,68482
The Family Stone,2004,6.3,56,67945
Jersey Girl,2004,6.2,43,66404
The Forgotten,2004,5.8,43,66133
The Stepford Wives,2004,5.3,42,66128
I Heart Huckabees,2004,6.6,55,64508
Wimbledon,2004,6.3,59,64439
Friday Night Lights,2004,7.2,70,63382
Les choristes,2004,7.8,56,62059
Mindhunters,2004,6.3,33,61230
La mala educación,2004,7.4,81,59990
Ladder 49,2004,6.5,47,57900
2046,2004,7.4,78,57577
Scooby-Doo 2: Monsters Unleashed,2004,5.1,34,57232
The Whole Ten Yards,2004,5.4,24,56421
Wicker Park,2004,6.9,40,56340
In Good Company,2004,6.5,66,55292
Bin-jip,2004,7.9,72,55113
Flight of the Phoenix,2004,6.1,47,54635
Miracle,2004,7.4,68,54566
Gegen die Wand,2004,7.9,78,54330
Nochnoy dozor,2004,6.4,58,54014
Dead Man's Shoes,2004,7.6,52,53833
Veer-Zaara,2004,7.8,67,52869
Alfie,2004,6.2,49,52799
Christmas with the Kranks,2004,5.4,22,49438
Kinsey,2004,7.1,79,49338
Without a Paddle,2004,5.8,29,47888
After the Sunset,2004,6.2,38,47674
Shall We Dance?,2004,6.1,47,47170
Saved!,2004,6.7,62,46809
Seed of Chucky,2004,4.8,46,45177
Taxi,2004,4.5,27,42577
Chasing Liberty,2004,6.0,46,39760
Taegukgi hwinalrimyeo,2004,8.0,64,39717
The Prince & Me,2004,5.8,47,39518
Inosensu: Innocence,2004,7.4,66,38417
The Adventures of Sharkboy and Lavagirl 3-D,2004,3.6,38,37948
Raising Helen,2004,6.0,38,37076
Exorcist: The Beginning,2004,5.1,30,36950
Birth,2004,6.2,50,36849
The Merchant of Venice,2004,7.0,63,36714
The Libertine,2004,6.2,44,36520
Maria Full of Grace,2004,7.4,87,35170
The Woodsman,2004,7.2,72,33663
The Final Cut,2004,6.1,43,33083
Melinda and Melinda,2004,6.4,54,32362
Mean Creek,2004,7.2,74,32055
Spartan,2004,6.5,60,31996
Anacondas: The Hunt for the Blood Orchid,2004,4.7,40,31743
Die fetten Jahre sind vorbei,2004,7.4,68,31718
Envy,2004,4.8,31,31229
Superbabies: Baby Geniuses 2,2004,1.5,9,31075
Club Dread,2004,5.6,45,29949
Confessions of a Teenage Drama Queen,2004,4.6,33,29373
Torque,2004,4.1,41,28381
Dirty Dancing: Havana Nights,2004,5.9,39,28260
Win a Date with Tad Hamilton!,2004,5.6,52,28124
Raise Your Voice,2004,5.8,33,27993
Dare mo shiranai,2004,8.0,88,27966
You Got Served,2004,3.8,37,27958
A Love Song for Bobby Long,2004,7.1,48,26259
Godsend,2004,4.8,24,25771
The Assassination of Richard Nixon,2004,6.9,63,25740
Vera Drake,2004,7.6,83,25608
Millions,2004,6.8,74,25583
The Perfect Score,2004,5.6,35,25270
Surviving Christmas,2004,5.4,19,24743
First Daughter,2004,5.0,31,23609
New York Minute,2004,4.9,33,23600
Laws of Attraction,2004,5.8,38,23494
Home on the Range,2004,5.3,50,23219
Batman Begins,2005,8.2,70,1447099
V for Vendetta,2005,8.2,62,1109424
Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,780601
Sin City,2005,8.0,74,764870
Harry Potter and the Goblet of Fire,2005,7.7,81,616303
Mr. & Mrs. Smith,2005,6.5,55,490572
Charlie and the Chocolate Factory,2005,6.7,72,474684
War of the Worlds,2005,6.5,73,446090
The 40 Year Old Virgin,2005,7.1,73,432791
King Kong,2005,7.2,81,420523
Madagascar,2005,6.9,57,399917
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,394790
Brokeback Mountain,2005,7.7,87,354328
Wedding Crashers,2005,7.0,64,354056
Constantine,2005,7.0,50,340521
Fantastic Four,2005,5.7,40,328871
Hitch,2005,6.6,58,316361
Lord of War,2005,7.6,62,315676
The Island,2005,6.8,50,315556
Serenity,2005,7.8,74,295358
Pride & Prejudice,2005,7.8,82,292627
Kingdom of Heaven,2005,7.2,63,286787
Corpse Bride,2005,7.3,83,269080
Saw II,2005,6.6,40,251057
Walk the Line,2005,7.8,72,249923
A History of Violence,2005,7.4,81,238224
Kiss Kiss Bang Bang,2005,7.5,72,226508
Munich,2005,7.5,74,226190
The Descent,2005,7.2,71,221957
Thank You for Smoking,2005,7.5,71,221231
Match Point,2005,7.6,72,217551
Transporter 2,2005,6.3,56,202812
The Hitchhiker's Guide to the Galaxy,2005,6.7,63,198397
Jarhead,2005,7.0,58,189019
Cinderella Man,2005,8.0,69,187227
Hostel,2005,5.9,55,179752
The Longest Yard,2005,6.4,48,178639
Flightplan,2005,6.3,53,162401
Hard Candy,2005,7.0,58,160868
Hooligans,2005,7.4,55,150830
Memoirs of a Geisha,2005,7.3,54,149145
Coach Carter,2005,7.3,57,147614
Robots,2005,6.4,64,146546
Four Brothers,2005,6.8,49,146493
Fun with Dick and Jane,2005,6.1,47,145479
The Constant Gardener,2005,7.4,82,141262
The Curse of the Were-Rabbit,2005,7.5,87,135291
Capote,2005,7.3,88,133154
Syriana,2005,6.9,76,130370
The Exorcism of Emily Rose,2005,6.7,46,129728
Æon Flux,2005,5.4,36,128448
House of Wax,2005,5.4,41,124177
Red Eye,2005,6.5,71,121260
The Brothers Grimm,2005,5.9,51,121240
Just Friends,2005,6.2,47,117942
The Skeleton Key,2005,6.5,47,114445
Doom,2005,5.2,34,113632
The Jacket,2005,7.1,44,113546
The Amityville Horror,2005,5.9,33,112123
Hostage,2005,6.5,44,110670
Just Like Heaven,2005,6.7,47,109149
The Interpreter,2005,6.4,62,107141
Brick,2005,7.2,72,105930
