movie,year,imdb,metascore,votes
Little Miss Sunshine,2006,7.8,80,476534
The Da Vinci Code,2006,6.6,46,430062
Cars,2006,7.2,73,414756
The Devil Wears Prada,2006,6.9,62,413869
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89,405382
The Lives of Others,2006,8.4,89,386640
The Illusionist,2006,7.6,68,371204
Inside Man,2006,7.6,76,370431
Mission: Impossible III,2006,6.9,66,354642
Night at the Museum,2006,6.4,48,344465
Click,2006,6.4,45,329149
Lucky Number Slevin,2006,7.7,53,312312
Apocalypto,2006,7.8,68,311109
Deja Vu,2006,7.1,59,310161
Babel,2006,7.5,69,302155
The Holiday,2006,6.9,52,283193
Superman Returns,2006,6.1,72,282724
Ice Age: The Meltdown,2006,6.8,60,276630
The Fast and the Furious: Tokyo Drift,2006,6.0,45,269699
Perfume: The Story of a Murderer,2006,7.5,56,249292
Crank,2006,6.9,57,248909
The Fountain,2006,7.2,51,238578
Silent Hill,2006,6.5,31,228438
Stranger Than Fiction,2006,7.6,67,228381
Rocky Balboa,2006,7.1,63,215761
Underworld: Evolution,2006,6.7,36,199788
Saw III,2006,6.2,48,192836
The Last King of Scotland,2006,7.6,74,185863
Happy Feet,2006,6.4,77,184926
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66,184101
Over the Hedge,2006,6.7,67,174368
The Hills Have Eyes,2006,6.4,52,170708
Letters from Iwo Jima,2006,7.9,89,162467
Idiocracy,2006,6.5,66,162455
She's the Man,2006,6.3,45,158793
The Lake House,2006,6.8,52,149628
Smokin' Aces,2006,6.6,45,145591
Final Destination 3,2006,5.8,41,141659
Snakes on a Plane,2006,5.5,58,139373
Clerks II,2006,7.3,65,134873
The Break-Up,2006,5.8,45,132646
Accepted,2006,6.4,47,132408
16 Blocks,2006,6.6,63,130887
Eragon,2006,5.1,38,126565
Flushed Away,2006,6.6,74,125529
Flags of Our Fathers,2006,7.1,79,123526
This Is England,2006,7.7,86,122127
Scary Movie 4,2006,5.1,40,121337
Gwoemul,2006,7.1,85,120851
Step Up,2006,6.5,48,118862
Monster House,2006,6.6,68,117945
Miami Vice,2006,6.0,66,117225
The Fall,2006,7.8,64,112153
A Scanner Darkly,2006,7.0,73,112001
Little Children,2006,7.5,75,111265
Marie Antoinette,2006,6.5,65,111236
The Queen,2006,7.3,91,110373
Tenacious D in The Pick of Destiny,2006,6.8,55,109113
United 93,2006,7.6,90,106310
Rescue Dawn,2006,7.3,77,106266
Poseidon,2006,5.7,50,104874
Alpha Dog,2006,6.9,53,103537
The Good Shepherd,2006,6.7,61,103383
Volver,2006,7.6,84,101670
Running Scared,2006,7.3,41,100203
Lady in the Water,2006,5.5,36,99789
Open Season,2006,6.1,49,96038
A Good Year,2006,6.9,47,95659
The Guardian,2006,6.9,53,93160
The Painted Veil,2006,7.4,69,92938
Nacho Libre,2006,5.8,52,87696
Half Nelson,2006,7.1,85,87543
Cashback,2006,7.1,54,87318
The Pink Panther,2006,5.6,38,86585
Scoop,2006,6.6,48,84577
John Tucker Must Die,2006,5.7,41,84081
World Trade Center,2006,6.0,66,83806
An Inconvenient Truth,2006,7.4,75,83327
Grandma's Boy,2006,6.9,33,83240
Papurika,2006,7.7,81,82588
Ultraviolet,2006,4.3,18,82050
Slither,2006,6.5,69,82022
"You, Me and Dupree",2006,5.6,46,81540
Failure to Launch,2006,5.6,47,80579
Notes on a Scandal,2006,7.4,73,78848
Zwartboek,2006,7.7,71,76908
Huo Yuan Jia,2006,7.6,70,76018
Jackass Number Two,2006,7.0,66,75704
The Black Dahlia,2006,5.6,49,74307
Dreamgirls,2006,6.5,76,73855
The Texas Chainsaw Massacre: The Beginning,2006,5.8,30,73041
"Paris, je t'aime",2006,7.2,66,72685
Invincible,2006,7.0,63,71101
La science des rêves,2006,7.2,70,69376
Beerfest,2006,6.2,46,68425
The Wicker Man,2006,3.7,36,68003
Gridiron Gang,2006,7.0,52,65855
Eight Below,2006,7.3,64,64914
My Super Ex-Girlfriend,2006,5.2,50,64603
Black Snake Moan,2006,6.9,52,63823
Penelope,2006,6.7,48,63403
We Are Marshall,2006,7.0,53,61690
RV,2006,5.5,33,59931
Date Movie,2006,2.8,11,59664
The Omen,2006,5.5,43,59383
Firewall,2006,5.8,45,58014
Inland Empire,2006,6.8,73,57664
Just My Luck,2006,5.4,29,57339
Wristcutters: A Love Story,2006,7.2,62,56085
Little Man,2006,4.4,26,55108
Ne le dis à personne,2006,7.5,82,54787
Tristan + Isolde,2006,6.8,49,52621
The Benchwarmers,2006,5.5,25,51398
The Wind that Shakes the Barley,2006,7.5,82,50355
The Sentinel,2006,6.1,49,49771
The Covenant,2006,5.1,19,49567
The Grudge 2,2006,5.0,33,49539
Employee of the Month,2006,5.5,36,47992
Glory Road,2006,7.2,58,46271
When a Stranger Calls,2006,5.1,27,46203
Candy,2006,7.2,57,45771
DOA: Dead or Alive,2006,4.8,38,44893
Man cheng jin dai huang jin jia,2006,7.0,70,44270
Big Momma's House 2,2006,4.7,34,43710
Garfield: A Tale of Two Kitties,2006,5.0,37,43133
Flyboys,2006,6.5,47,42926
Aquamarine,2006,5.3,51,42278
Charlotte's Web,2006,6.3,68,42117
Bobby,2006,7.0,54,42083
The Last Kiss,2006,6.4,57,41720
Black Sheep,2006,5.8,62,40770
Gedo senki,2006,6.4,47,39814
Basic Instinct 2,2006,4.3,26,39688
The Ant Bully,2006,5.8,59,39642
Southland Tales,2006,5.3,44,39013
Severance,2006,6.4,62,39000
Turistas,2006,5.4,36,38886
The Santa Clause 3: The Escape Clause,2006,4.7,32,37461
Arthur et les Minimoys,2006,6.0,39,37327
Bug,2006,6.1,62,35302
Efter brylluppet,2006,7.7,78,34748
Find Me Guilty,2006,7.0,65,34681
Hollywoodland,2006,6.5,62,34468
Dnevnoy dozor,2006,6.4,59,34466
The Marine,2006,4.7,45,34158
Shortbus,2006,6.4,64,33709
Man of the Year,2006,6.2,39,33465
All the Boys Love Mandy Lane,2006,5.5,44,33370
Stay Alive,2006,5.0,24,32483
Hors de prix,2006,7.0,72,32242
Seraphim Falls,2006,6.6,62,31968
Last Holiday,2006,6.5,52,31885
Hatchet,2006,5.6,57,31253
Barnyard,2006,5.6,42,31251
Goya's Ghosts,2006,6.9,52,30774
Ils,2006,6.4,60,30724
Friends with Money,2006,5.8,68,30631
Unknown,2006,6.4,44,30461
Miss Potter,2006,7.0,57,30053
No Country for Old Men,2007,8.2,92,955753
I Am Legend,2007,7.2,65,748053
Ratatouille,2007,8.1,96,720864
Pirates of the Caribbean: At World's End,2007,7.1,50,644875
Transformers,2007,7.0,61,632807
The Bourne Ultimatum,2007,8.0,85,631627
Into the Wild,2007,8.1,73,618106
Spider-Man 3,2007,6.2,59,582801
There Will Be Blood,2007,8.2,93,578562
Superbad,2007,7.6,76,572514
Harry Potter and the Order of the Phoenix,2007,7.5,71,572313
Zodiac,2007,7.7,78,533003
Juno,2007,7.5,81,519710
Hot Fuzz,2007,7.8,81,501295
American Gangster,2007,7.8,76,423653
Live Free or Die Hard,2007,7.1,69,404907
Knocked Up,2007,6.9,85,368502
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83,366629
Ocean's Thirteen,2007,6.9,62,344635
Shooter,2007,7.2,53,332312
The Simpsons Movie,2007,7.3,80,328456
3:10 to Yuma,2007,7.7,76,309806
The Mist,2007,7.1,58,307259
Shrek the Third,2007,6.1,58,304451
Atonement,2007,7.8,85,275906
28 Weeks Later,2007,6.9,78,275010
1408,2007,6.8,64,272184
Stardust,2007,7.6,66,271370
Gone Baby Gone,2007,7.6,72,271226
4: Rise of the Silver Surfer,2007,5.6,45,264968
Sunshine,2007,7.2,64,249601
The Bucket List,2007,7.4,42,245101
Eastern Promises,2007,7.6,82,241890
Ghost Rider,2007,5.2,35,238504
Paranormal Activity,2007,6.3,68,237897
National Treasure: Book of Secrets,2007,6.5,48,236255
Disturbia,2007,6.8,62,235100
P.S. I Love You,2007,7.0,39,209715
Fracture,2007,7.2,68,204926
The Darjeeling Limited,2007,7.2,67,198534
Enchanted,2007,7.1,75,197304
Resident Evil: Extinction,2007,6.2,41,195452
The Golden Compass,2007,6.1,51,187959
Grindhouse,2007,7.5,77,184468
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,68,180724
[Rec],2007,7.4,71,178861
30 Days of Night,2007,6.6,53,176231
Hitman,2007,6.2,35,169960
Blades of Glory,2007,6.3,64,168858
Beowulf,2007,6.3,59,168012
Rush Hour 3,2007,6.2,44,167335
Michael Clayton,2007,7.2,82,165856
Bee Movie,2007,6.1,54,161151
Next,2007,6.2,42,158458
Bridge to Terabithia,2007,7.2,74,156248
El orfanato,2007,7.4,74,155319
Mr. Brooks,2007,7.3,45,150640
Shoot 'Em Up,2007,6.6,49,150441
Saw IV,2007,5.9,36,150326
I Now Pronounce You Chuck & Larry,2007,5.9,37,147655
Evan Almighty,2007,5.4,37,147448
Lars and the Real Girl,2007,7.3,70,145657
Hairspray,2007,6.7,81,130169
Mr. Bean's Holiday,2007,6.4,56,125897
The Kingdom,2007,7.0,56,125617
AVPR: Aliens vs Predator - Requiem,2007,4.6,29,125286
Halloween,2007,6.0,47,120121
Wild Hogs,2007,5.8,27,118824
Charlie Wilson's War,2007,7.0,67,118342
Once,2007,7.8,88,116448
Death at a Funeral,2007,7.3,67,115909
Across the Universe,2007,7.3,56,110581
Hannibal Rising,2007,6.1,35,110203
Le scaphandre et le papillon,2007,8.0,92,107596
August Rush,2007,7.4,38,107516
Epic Movie,2007,2.4,17,105680
Before the Devil Knows You're Dead,2007,7.3,85,104064
Tropa de Elite,2007,8.0,33,103866
Music and Lyrics,2007,6.5,59,103146
Dan in Real Life,2007,6.8,65,102942
Vacancy,2007,6.2,54,100751
Meet the Robinsons,2007,6.8,61,99628
Funny Games,2007,6.5,44,97111
Reign Over Me,2007,7.4,61,96580
Persepolis,2007,8.0,90,94482
Dead Silence,2007,6.1,34,94364
The Heartbreak Kid,2007,5.8,46,91773
War,2007,6.2,36,91086
Good Luck Chuck,2007,5.6,19,90489
Hostel: Part II,2007,5.5,46,90346
We Own the Night,2007,6.8,59,89062
La Vie en Rose,2007,7.6,66,86988
Hot Rod,2007,6.7,43,86206
Alvin and the Chipmunks,2007,5.2,39,85494
The Kite Runner,2007,7.6,61,80227
Chak De! India,2007,8.1,68,80033
Surf's Up,2007,6.7,64,79389
The Invasion,2007,5.9,45,78973
Premonition,2007,5.9,29,78762
Freedom Writers,2007,7.6,64,78624
88 Minutes,2007,5.9,17,76444
Awake,2007,6.5,33,75986
Sicko,2007,8.0,74,75510
No Reservations,2007,6.3,50,75156
Norbit,2007,4.1,27,74473
Walk Hard: The Dewey Cox Story,2007,6.8,63,73273
In the Valley of Elah,2007,7.2,65,72840
Death Sentence,2007,6.7,36,71940
Elizabeth: The Golden Age,2007,6.8,45,71522
Run Fatboy Run,2007,6.6,48,67973
The Game Plan,2007,6.1,44,66297
Charlie Bartlett,2007,6.9,54,65310
Control,2007,7.6,78,65273
TMNT,2007,6.2,41,64747
The Hills Have Eyes II,2007,5.1,32,64315
Los cronocrímenes,2007,7.1,68,63842
Becoming Jane,2007,7.0,55,61901
The Brave One,2007,6.7,56,61091
"4 luni, 3 saptamâni si 2 zile",2007,7.9,97,60280
The Nanny Diaries,2007,6.2,46,59953
Breach,2007,7.0,74,59934
The Great Debaters,2007,7.5,65,58943
I'm Not There,2007,6.8,73,58906
The Lookout,2007,7.0,73,58898
Rendition,2007,6.8,55,56051
My Blueberry Nights,2007,6.6,51,54373
The Condemned,2007,6.0,23,52444
Cassandra's Dream,2007,6.6,49,52288
Lions for Lambs,2007,6.2,47,50248
In the Name of the King: A Dungeon Siege Tale,2007,3.8,15,49155
Sydney White,2007,6.2,45,48831
Perfect Stranger,2007,5.7,31,48190
Diary of the Dead,2007,5.6,66,47617
Mongol,2007,7.2,74,46877
Waitress,2007,7.0,75,46826
Mr. Magorium's Wonder Emporium,2007,6.2,48,45897
Die Fälscher,2007,7.5,78,45750
Pathfinder,2007,5.4,29,44570
Fred Claus,2007,5.6,42,43924
Teeth,2007,5.4,57,43869
The Reaping,2007,5.6,36,43370
The Visitor,2007,7.6,79,43227
The Hitcher,2007,5.6,28,43046
Balls of Fury,2007,5.3,38,42817
Cleaner,2007,6.1,49,42767
"Se, jie",2007,7.5,61,41696
The Water Horse,2007,6.4,71,40943
The Messengers,2007,5.3,34,39931
License to Wed,2007,5.2,25,39488
Because I Said So,2007,5.5,26,38787
Boy A,2007,7.6,75,37808
The Savages,2007,7.1,85,37464
The King of Kong,2007,8.0,83,36583
Mr. Woodcock,2007,5.2,41,36148
The Last Legion,2007,5.4,37,35889
The Invisible,2007,6.1,36,35654
The Air I Breathe,2007,6.7,37,34258
P2,2007,5.9,37,34180
The Nines,2007,6.2,52,33879
Chaos Theory,2007,6.6,44,32737
Auf der anderen Seite,2007,7.7,85,32156
Sleuth,2007,6.4,49,31949
Son of Rambow,2007,7.0,66,31915
In the Land of Women,2007,6.4,47,31823
2 Days in Paris,2007,6.7,67,31313
The Dark Knight,2008,9.0,84,2600585
WALL·E,2008,8.4,95,1099593
Iron Man,2008,7.9,79,1042872
Slumdog Millionaire,2008,8.0,84,839389
Gran Torino,2008,8.1,72,768999
The Curious Case of Benjamin Button,2008,7.8,70,643270
Taken,2008,7.8,51,598965
The Incredible Hulk,2008,6.6,61,485474
Hancock,2008,6.4,49,478228
Kung Fu Panda,2008,7.6,74,463624
Twilight,2008,5.3,56,458487
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65,451385
The Hurt Locker,2008,7.5,95,448914
Quantum of Solace,2008,6.6,58,445901
In Bruges,2008,7.9,67,419444
Tropic Thunder,2008,7.0,71,411740
Cloverfield,2008,7.0,64,396497
Wanted,2008,6.7,64,386934
Yes Man,2008,6.8,46,359991
Pineapple Express,2008,6.9,64,337979
Burn After Reading,2008,7.0,63,330692
Jumper,2008,6.1,35,305841
The Wrestler,2008,7.9,80,304581
Seven Pounds,2008,7.6,36,301640
Step Brothers,2008,6.9,51,293131
Forgetting Sarah Marshall,2008,7.1,67,284185
Hellboy II: The Golden Army,2008,7.0,78,270587
Vicky Cristina Barcelona,2008,7.1,70,255067
Changeling,2008,7.8,63,254734
RocknRolla,2008,7.2,53,250852
21,2008,6.8,48,250275
The Reader,2008,7.6,58,244296
Valkyrie,2008,7.1,56,243582
Mamma Mia!,2008,6.5,51,242887
Rambo,2008,7.0,46,230941
Role Models,2008,6.8,61,230938
Body of Lies,2008,7.0,57,228418
Madagascar: Escape 2 Africa,2008,6.6,61,225917
Ip Man,2008,8.0,59,223118
Get Smart,2008,6.5,54,217695
The Boy in the Striped Pajamas,2008,7.7,55,216734
Låt den rätte komma in,2008,7.9,82,216009
Revolutionary Road,2008,7.3,69,212504
The Chronicles of Narnia: Prince Caspian,2008,6.5,62,209609
Bolt,2008,6.8,67,209499
Death Race,2008,6.4,43,208768
The Happening,2008,5.0,34,206698
You Don't Mess with the Zohan,2008,5.6,54,201877
Eagle Eye,2008,6.6,43,186818
The Bank Job,2008,7.2,69,181522
Zack and Miri Make a Porno,2008,6.5,56,177533
What Happens in Vegas,2008,6.1,36,176703
Milk,2008,7.5,83,172578
The Day the Earth Stood Still,2008,5.5,40,170689
Transporter 3,2008,6.0,51,167157
"Definitely, Maybe",2008,7.1,59,165805
27 Dresses,2008,6.1,47,164308
The Mummy: Tomb of the Dragon Emperor,2008,5.2,31,160364
Marley & Me,2008,7.0,53,158144
Vantage Point,2008,6.6,40,150331
Defiance,2008,7.1,58,147706
Gake no ue no Ponyo,2008,7.6,86,142314
Horton Hears a Who!,2008,6.8,71,140128
Harold & Kumar Escape from Guantanamo Bay,2008,6.5,57,137151
"10,000 BC",2008,5.1,34,131180
Bronson,2008,7.0,71,130940
The Strangers,2008,6.1,47,130359
Doubt,2008,7.5,68,129292
Max Payne,2008,5.3,31,126284
Australia,2008,6.6,53,124768
Saw V,2008,5.8,20,124494
Journey to the Center of the Earth,2008,5.8,57,122582
Sex and the City,2008,5.6,53,122212
Street Kings,2008,6.8,55,113841
The Other Boleyn Girl,2008,6.7,50,112991
Frost/Nixon,2008,7.7,80,108106
Meet the Spartans,2008,2.8,9,108024
Mirrors,2008,6.1,35,107631
The Forbidden Kingdom,2008,6.5,57,105824
Never Back Down,2008,6.5,39,101532
Babylon A.D.,2008,5.5,26,95955
The Spiderwick Chronicles,2008,6.5,62,95785
Bedtime Stories,2008,6.0,33,95132
Nick and Norah's Infinite Playlist,2008,6.6,64,92488
The X Files: I Want to Believe,2008,5.9,47,91548
Disaster Movie,2008,1.9,15,91427
Be Kind Rewind,2008,6.4,52,91413
"Synecdoche, New York",2008,7.5,67,91153
Righteous Kill,2008,6.0,36,88380
Sex Drive,2008,6.5,49,87943
Step Up 2: The Streets,2008,6.2,50,87582
Eden Lake,2008,6.7,65,84776
The House Bunny,2008,5.5,55,83996
The Duchess,2008,6.9,62,83216
Semi-Pro,2008,5.8,47,82696
Fool's Gold,2008,5.7,29,79765
Felon,2008,7.4,58,78635
Inkheart,2008,6.1,49,77905
Doomsday,2008,5.9,51,77147
Outlander,2008,6.2,40,75786
The Ruins,2008,5.9,44,75134
Speed Racer,2008,6.0,37,73854
Ghost Town,2008,6.7,72,73649
Quarantine,2008,5.9,53,73608
Blindness,2008,6.5,45,73007
Four Christmases,2008,5.7,41,72081
Sunshine Cleaning,2008,6.8,61,72007
Made of Honor,2008,5.8,37,71897
Hunger,2008,7.5,82,70334
How to Lose Friends & Alienate People,2008,6.4,35,69559
Superhero Movie,2008,4.6,33,69028
City of Ember,2008,6.4,58,66061
Chugyeokja,2008,7.8,64,66005
Star Wars: The Clone Wars,2008,5.9,35,65989
The Midnight Meat Train,2008,6.0,58,65127
Punisher: War Zone,2008,5.9,30,63546
High School Musical 3: Senior Year,2008,4.9,57,62756
Appaloosa,2008,6.7,64,61450
The Spirit,2008,4.7,30,61374
Pride and Glory,2008,6.6,45,61330
Drillbit Taylor,2008,5.7,41,60563
Religulous,2008,7.6,56,59185
Vals Im Bashir,2008,8.0,91,57920
Traitor,2008,6.9,61,57786
Bangkok Dangerous,2008,5.3,24,56883
Man on Wire,2008,7.7,89,55906
The Eye,2008,5.4,36,53687
Transsiberian,2008,6.6,72,53073
The Love Guru,2008,3.8,24,52901
Lakeview Terrace,2008,6.1,47,52607
Okuribito,2008,8.0,68,52075
"Food, Inc.",2008,7.8,80,51173
The Brothers Bloom,2008,6.7,55,50769
Untraceable,2008,6.2,32,50644
Rachel Getting Married,2008,6.7,82,49420
Gomorra,2008,7.0,87,48986
W.,2008,6.3,56,48374
"New York, I Love You",2008,6.2,49,46433
Chi bi,2008,7.3,73,46377
Baby Mama,2008,6.0,55,45363
My Best Friend's Girl,2008,5.8,34,44395
Meet Dave,2008,5.0,43,41120
Two Lovers,2008,7.0,74,40587
Happy-Go-Lucky,2008,7.0,84,39618
Deception,2008,6.0,31,39548
JCVD,2008,7.1,64,39047
The Rocker,2008,6.2,53,38787
The Hottie & the Nottie,2008,1.9,7,38339
Nothing But the Truth,2008,7.2,64,38265
The Tale of Despereaux,2008,6.1,53,38216
Der Baader Meinhof Komplex,2008,7.3,76,38104
Splinter,2008,6.1,58,37747
Passengers,2008,5.8,40,37372
Dear Zachary: A Letter to a Son About His Father,2008,8.5,82,36841
Prom Night,2008,3.9,17,36044
Joheunnom nabbeunnom isanghannom,2008,7.2,69,35851
Entre les murs,2008,7.5,92,35458
Nim's Island,2008,6.0,55,35400
Shutter,2008,5.2,37,34352
Che: Part Two,2008,6.8,64,33813
L'instinct de mort,2008,7.5,71,33788
Choke,2008,6.4,47,32644
Jodhaa Akbar,2008,7.5,69,32607
Leatherheads,2008,6.0,56,32443
Pathology,2008,5.9,55,32438
One Missed Call,2008,4.0,24,32415
Pontypool,2008,6.5,54,32391
Ong Bak 2,2008,6.2,47,30786
The Wackness,2008,6.9,61,30745
Inglourious Basterds,2009,8.3,69,1418699
Avatar,2009,7.8,83,1216912
Up,2009,8.3,88,1028835
The Hangover,2009,7.7,73,776232
District 9,2009,7.9,81,676358
Sherlock Holmes,2009,7.6,57,627793
Star Trek,2009,7.9,82,601413
Zombieland,2009,7.6,73,569982
Watchmen,2009,7.6,56,547228
Harry Potter and the Half-Blood Prince,2009,7.6,78,536109
(500) Days of Summer,2009,7.7,76,509963
X-Men Origins: Wolverine,2009,6.5,40,501250
Transformers: Revenge of the Fallen,2009,5.9,35,405518
3 Idiots,2009,8.4,67,393710
2012,2009,5.8,49,375703
Terminator Salvation,2009,6.5,49,360582
Moon,2009,7.8,67,357121
Up in the Air,2009,7.4,83,334428
The Blind Side,2009,7.6,53,329031
The Proposal,2009,6.7,48,325537
Public Enemies,2009,7.0,70,301645
Law Abiding Citizen,2009,7.4,34,295187
Angels & Demons,2009,6.7,48,291830
Fast & Furious,2009,6.5,46,285549
The Twilight Saga: New Moon,2009,4.7,44,283333
Ice Age: Dawn of the Dinosaurs,2009,6.9,50,243801
The Road,2009,7.2,64,238055
Knowing,2009,6.2,41,234041
Mr. Nobody,2009,7.8,63,232118
Cloudy with a Chance of Meatballs,2009,6.9,66,230558
Fantastic Mr. Fox,2009,7.9,83,228822
Coraline,2009,7.7,80,224037
Orphan,2009,7.0,42,219840
The Ugly Truth,2009,6.4,28,218454
Män som hatar kvinnor,2009,7.8,76,216517
G.I. Joe: The Rise of Cobra,2009,5.7,32,208597
El secreto de sus ojos,2009,8.2,80,208363
"I Love You, Man",2009,7.0,70,205840
Drag Me to Hell,2009,6.6,83,202366
17 Again,2009,6.4,48,199651
The Taking of Pelham 123,2009,6.4,55,197142
Night at the Museum: Battle of the Smithsonian,2009,6.0,42,195287
Surrogates,2009,6.3,45,175072
He's Just Not That Into You,2009,6.4,47,172573
The Lovely Bones,2009,6.6,42,169321
Monsters vs. Aliens,2009,6.4,56,161479
Adventureland,2009,6.8,76,160877
Underworld: Rise of the Lycans,2009,6.5,44,159953
Invictus,2009,7.3,74,159371
State of Play,2009,7.1,64,152208
Pandorum,2009,6.7,28,151273
The Time Traveler's Wife,2009,7.1,47,151076
Crank: High Voltage,2009,6.1,41,149815
The Imaginarium of Doctor Parnassus,2009,6.8,65,149526
Brüno,2009,5.9,54,149029
The Princess and the Frog,2009,7.1,73,143070
A Serious Man,2009,7.0,84,142395
The Invention of Lying,2009,6.3,58,140838
9,2009,7.0,60,139903
Gamer,2009,5.7,27,134977
An Education,2009,7.3,85,134202
Jennifer's Body,2009,5.4,47,133468
The Men Who Stare at Goats,2009,6.2,54,132458
Daybreakers,2009,6.4,57,128961
Antichrist,2009,6.5,49,126337
Brothers,2009,7.1,58,125938
Funny People,2009,6.3,60,119463
Julie & Julia,2009,7.0,66,119016
A Christmas Carol,2009,6.8,55,114453
A Single Man,2009,7.5,77,112358
Saw VI,2009,6.0,30,111693
The Boat That Rocked,2009,7.3,58,111641
Push,2009,6.1,36,111354
Precious,2009,7.3,78,110735
Paul Blart: Mall Cop,2009,5.2,39,110454
Couples Retreat,2009,5.5,23,108606
Bride Wars,2009,5.4,24,107987
Friday the 13th,2009,5.5,34,107291
The Final Destination,2009,5.1,30,105538
Where the Wild Things Are,2009,6.7,71,105060
Un prophète,2009,7.8,90,98441
Year One,2009,4.9,34,98163
Splice,2009,5.8,66,97465
I Love You Phillip Morris,2009,6.6,65,95984
The International,2009,6.5,52,95662
Kynodontas,2009,7.2,73,95358
Flickan som lekte med elden,2009,7.1,66,95306
My Sister's Keeper,2009,7.3,51,93555
It's Complicated,2009,6.5,57,92661
The Last House on the Left,2009,6.5,42,92519
The Box,2009,5.6,47,92056
Ghosts of Girlfriends Past,2009,5.8,34,90034
Crazy Heart,2009,7.2,83,89826
Harry Brown,2009,7.2,55,87672
Case 39,2009,6.2,25,86459
The Uninvited,2009,6.3,43,80536
Enter the Void,2009,7.2,69,79774
The Human Centipede (First Sequence),2009,4.4,33,79073
Confessions of a Shopaholic,2009,5.8,38,78537
The Fourth Kind,2009,5.9,34,78115
The Bad Lieutenant: Port of Call - New Orleans,2009,6.6,69,77476
Dragonball Evolution,2009,2.6,45,74530
Youth in Revolt,2009,6.5,63,74489
Whatever Works,2009,7.1,45,74259
Solomon Kane,2009,6.1,48,73729
Chloe,2009,6.3,48,73711
Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8,82,73503
[Rec]²,2009,6.5,52,73095
A Perfect Getaway,2009,6.5,63,72711
Ninja Assassin,2009,6.3,34,72244
Luftslottet som sprängdes,2009,7.3,60,71812
Land of the Lost,2009,5.3,32,70700
Agora,2009,7.1,55,69856
Whip It,2009,6.9,68,67588
Død snø,2009,6.3,61,67134
The Informant!,2009,6.5,66,65418
The Collector,2009,6.3,29,65373
The Boondock Saints II: All Saints Day,2009,6.2,24,64611
Brooklyn's Finest,2009,6.7,43,63907
Madeo,2009,7.8,79,63594
Observe and Report,2009,5.7,54,63392
Fish Tank,2009,7.3,81,62557
The Haunting in Connecticut,2009,5.8,33,62198
The Young Victoria,2009,7.2,64,62146
Everybody's Fine,2009,7.1,47,61614
Valhalla Rising,2009,6.0,61,60381
Race to Witch Mountain,2009,5.7,52,59869
Fanboys,2009,6.5,45,59039
In the Loop,2009,7.4,83,58133
My Bloody Valentine,2009,5.4,51,56945
Planet 51,2009,6.0,39,55289
Halloween II,2009,4.8,35,54223
Away We Go,2009,7.0,58,53686
The Soloist,2009,6.7,61,53669
Darbareye Elly,2009,7.9,87,53434
The Unborn,2009,4.7,30,51459
Duplicity,2009,6.1,69,50425
The Cove,2009,8.4,84,49621
Black Dynamite,2009,7.3,65,49142
Alvin and the Chipmunks: The Squeakquel,2009,4.5,41,49125
Extract,2009,6.1,61,48420
Bakjwi,2009,7.1,73,46760
G-Force,2009,5.1,41,46657
The House of the Devil,2009,6.3,73,46294
Cirque du Freak: The Vampire's Assistant,2009,5.8,43,45212
The Pink Panther 2,2009,5.6,36,45177
Banlieue 13: Ultimatum,2009,6.5,64,44725
Fired Up!,2009,6.1,31,44332
The Damned United,2009,7.5,81,44000
Nine,2009,5.8,49,43921
Notorious,2009,6.6,60,43851
Hannah Montana: The Movie,2009,4.5,47,42687
Capitalism: A Love Story,2009,7.4,61,42677
All About Steve,2009,4.8,17,42254
Los abrazos rotos,2009,7.2,76,40992
The Loved Ones,2009,6.6,73,40958
Did You Hear About the Morgans?,2009,4.9,27,40677
Coco avant Chanel,2009,6.6,65,40636
The Joneses,2009,6.4,55,40534
This Is It,2009,7.2,67,40433
Spread,2009,5.8,43,40211
World's Greatest Dad,2009,6.9,69,39148
After.Life,2009,5.9,36,38754
Soul Kitchen,2009,7.2,76,38430
Inception,2010,8.8,74,2306002
Shutter Island,2010,8.2,63,1282108
Toy Story 3,2010,8.3,92,825803
Iron Man 2,2010,6.9,57,805735
Black Swan,2010,8.0,79,756213
How to Train Your Dragon,2010,8.1,75,730533
The Social Network,2010,7.8,95,693021
The King's Speech,2010,8.0,88,675856
Kick-Ass,2010,7.6,66,558358
Despicable Me,2010,7.6,72,542098
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,539622
Tangled,2010,7.7,71,447195
Scott Pilgrim vs. the World,2010,7.5,69,421478
Alice in Wonderland,2010,6.4,53,411649
Easy A,2010,7.0,72,388253
The Town,2010,7.5,74,387256
127 Hours,2010,7.6,82,374654
The Fighter,2010,7.8,79,364903
The Expendables,2010,6.4,45,344008
Due Date,2010,6.5,51,342378
True Grit,2010,7.6,80,336961
Tron,2010,6.8,49,335065
The Book of Eli,2010,6.8,53,316391
Salt,2010,6.4,65,313451
RED,2010,7.0,60,307730
Insidious,2010,6.8,52,305243
Prince of Persia: The Sands of Time,2010,6.6,50,288663
Clash of the Titans,2010,5.8,39,281898
